alt;become frozen
stemtétem,  stemtétem̓;stuff, belongings
stemtúmen;dream
stemxwéke7;snow on branches
sten;placed, or  is at a given spot
st̓en̓wéye;bat (animal)
st̓epem7úl̓i;spinning wool/ rope by hand
st̓epqéllcw;loghouse is chinked with mud
st̓epqúlecw;mud
stept̓úpelqw;honeysuckle  Lonicera ciliosa, clematis Clematis ligusticifolia  ???
st̓eqe7úlecw;alkaline mud which, mixed with chaff, was used to plaster walls.
steqeméke7;sugary substance found on young fir trees
steqeméllqe;Fir tree covered in sugar
steq̓éye;grey deer (in winter fur)
steq̓lle7éne,  steq̓lle7én̓e;person with braids
steq̓lleqín;braids upon his/her head
steqpílps;neck is covered by a hat
steqqín;water is dammed
st̓éqst̓ye;swamp
steqt̓éq;patchwork blanket
steq̓tewílten;ford
steq̓wméllp;salmonberry bush Rubus parviflorus
steqwtít̓qwt;sparks
steqwt̓qú7;patch work quilt
steqwt̓qúqw7e;patch work quilt, E  quilt with many stitches.
stetegwllús;blind
stet̓ém;card game
stétem̓-ce  stétme7-ce);hurry up!
stet̓enwéye;bats (plu.)
stet̓éqe7;highbush blueberry
stetex7ém;elders
stét̓ksem;new shoots
stet̓kw;arrogant
stét̓lemc;Lillooet Indians
stétme7-ce,  stem̓cénce!;hurry up! (walking)
stét̓qst̓ye;a swamp plant (unid., grows in clumps).  ???***
stet;stallion
stet̓uqúlecw;ground with cracks and cave-ins
stéwles,-ens;clothing bought
st̓ex7é7em/st̓ex7emém;eldest
st̓ex7ém;grown up person, elder
stextétxmen;propulsion fin
st̓extéws;Bonaparte Reserve
stexwt̓exwlúlse;hail (large stones)
stgetsgéts;hitched to wagon (horse)
stgetsúpe7;tied behind stg.,tail is tied
stgíl̓ne;stones piled over the top
stgíl̓ne, tgíl̓ne;covered with stones
stil;portulaca (crawling, rubber-like plant)
st̓iltcw;Montana tribe  (enemies of the Shuswap)
stínesten;cedar roots
stíq̓em;bitterroot
stíq̓sell;silver-trout
st̓iqt;clouds
st̓íqtem;cloudy
stíq̓wem;salmonberry
stistésq̓t;monday
stistésq't;Monday
stit̓i7úlecw;snowbird
stix;lined up, in single file
stk̓e7;put down on, placed on, supported (of one rock/sack)
st̓ke7sestsút;propping up one's head
stkek̓télqw;inner bark
st̓kéktkwe;underground stream
stkelklép̓o7sqen;curly hair
stk̓etcúcwpe7;bobtailed
stkét̓pe7;raised tail
stk̓mépstxen;hip
stktsétkwe, tekstsétkwe7;floating on top of the water
stk̓ul;ornamented
stk̓ups;a bird (unid.)***
stkwekwe7súlecw;growing dim, nearly dark
st̓kwekwékwtkwe;warm (unfrozen) spring
st̓kwekwékwtkwe;water seeping out of the ground
stkwelkwál;chestnut horse
stk̓wemíple7,  ctk̓wenme7íple7ten;law,  rule
stk̓wenme7íple7;law, commandment
stk̓wey̓;covered in hoar-frost
stkwik̓wéy;silver-tipped grizzly
st̓lcítem;banned from a people
stlle7;leaning against stg.
stllelléll7e;hobo, vagabond
stllencentén̓;discarded moccasins
st̓lsqelcw;soul
st̓meltcwállts̓e;beef
stmemémc;younger
stmetmút̓elqw;fungus growing on trees
stmuqw;thornberry
st̓néltcw;common cattail  Typha latifolia
st̓nén̓ek;cooking small fish by holding them in forked sticks over a fire.
st̓pe7;marrow
stp̓é7sull;"eye" of the huckleberry
st̓peq;muddied
stpet̓míts̓e7;blisters stick to clothing
stpetpetqín;rock tripe
stpetspúptsqen;foxtail (plant)
stpkus,  tepkús;grains of stg. smattered over the top of stg.
stpkwesq̓t;cumulus, billowy clouds
stp̓úm̓eltcw,  stp̓úmeltcw;palamino horse
stp̓úm̓enk;bear sausage
stpút̓kwe7;mist rises over water
stq̓7épem;wood bundles gathered and carried on one's  back
stqeltús;mountain tops
stqemxwéke7;lump on a tree/branch/stick
stq̓emxwélqw;fungus growing on trees
stq̓emxwéltcw;ball of skin strips
stqeqemxwéke7;birch tree fungus used to clean buckskin
st̓qeqín;stiff bit (for horse)
stqést̓u;buckskin patch
stq̓éy̓qen;a shed or covered wagon/buggy
stq̓il̓,  steq̓íl̓;branches broken off a tree
stq̓il̓s, tsexq̓íw;trail marked by broken-off branches
st̓qu7;sewn up
stqu7stsút;arms akimbo while lying down or asleep
stq̓úlleltcw;brown (animal)
stq̓úllen̓t,  tektsíqw;bay (horse), reddish/brown animal
stq̓ups;fragmented hay (at bottom of pile)
stq̓wé7em;breaking off branches with berries
stq̓wé7ens;breaking off branches with berries
stq̓we7;he/she burped loudly
stqwegqwégs;blurred vision
stqwelq̓wlém̓ (E é);large flying insect (has globes under wings)????
stqweq̓wí7pe;doe
stqwey̓éltcw;grey (horse)
stqwi7éltcw;See stqq̓ey̓éltxq̓.  ????
stqwixw;rocks built around an open fire to cook n.
st̓qwmeke7úl̓i,  st̓eqwmeke7úl̓i;hockey-like ball-game played by the Secwepemc
stqwmelqw;lump on a tree
stqwmel̓s;a fungus found on birch trees, used to clean buckskin
stq̓wmeps;Chinese
stqwmétkwe;floating on the water (plur.)
sts7e7k̓w;flowers
sts7etsqw;baked potatoes
sts̓als,  sts̓élse;Oregon grape
stscem̓tép,  stsec7emtép;price
sts̓e7;beaver dam
stsecé7;is fixed
sts̓ect;brother in-law
stsectsék;trail in forest marked with nicked trees
sts̓ect, ts̓éce;brother inlaw
stsecwtsúcwe;deciduous tree bark sliver
stsecwtsúcwe;pine tree bark which sheds fine slivers
stsecyúsu7sqen;bow (in hair)
stsegwtsegwleqíqne;wren  Do
stsegwtsegwqíqen;wren
stsek̓éllp;a kind of pine (grows around Clinton)
stsek̓qín̓;fir- or pine-cone
stsektsek̓cén;hard spots on horse's knee and hock
stsekwtsétsk̓wem̓;lightning
sts̓elcwéllcw;wigwam/teepee
sts̓élep;boughs  floor foundation
stselkstésq̓t;Friday
stsellenmíns;used as  food
sts̓ell;payment for cure
sts̓ellt;cold temperature
stselltsellnéy̓e;junk food  ???
stselltsúllne7;with ears pricked up
sts̓elsállp;Oregon grape bush Berberis repens
stsel̓smíns,  stsewsmín̓s;has put down as a bet
stsél̓sten;the article or bet
stselts̓él;trees
stselts̓lólse,  stsests̓eslólse;hail
stselxmém;knowledge
sts̓em;fishbone
sts̓emqín;brains
sts̓emtsín̓;leftovers
stsemtsúts̓emlle;young deer (no longer a fawn)
stsemtúlecw, sts7emetúlecw;place-name
sts̓emxwíts̓e7;rag
stsénkem;lie down for a nap after a meal
stsentés;he/she punched him/her
stsents̓íntye;stupid person
stsep;bloodstained
stseptékwlem;(to tell) a myth
stseq̓cén̓;having shoes on bare feet
stseq;freight or vessel is sitting there
sts̓eqle7cw;yeast bread
stseq̓míntentseq̓mín̓ten;stg. discarded, thrown away, E  evil spirit, devil.deveil
stseq̓mín̓tn;devil
stseq̓qín̓ten;hammer
stseqtsenéllcw;parked close to the door
stseqtsq'ém;thunderbolt
stséqwem;salmonberry
stseqwméllp;salmonberry bush
stseqwts̓íqwem̓;owl***
stsertsér;has burnt  parts/portions
stsetél̓s;center, middle (of a length)
stsetemí7st.s;he/she knocked out, killed someone
stsétscem;flint,large beetle
stsetseméye7st;buckshot
stsets̓éx, sets̓éx;witness, is looking at/towards
stsets̓éx;witness
stsétsqwllts̓e;weasel
sts̓exmém̓llp;juniper (prickly)
sts̓extén;outward appearance, looks
sts̓gweyst.s;joke/kid around with sb. also to do work hap-hazardly
sts̓í7stem;fox's wife  (story)
stsik̓;edible acorn
stsik̓t;shining
stsilc;lie down (sing.)
sts̓ílemc;birthmark
sts̓ílem̓c,  stektsún̓men;birthmark
sts̓ílemst.s;this is the way she/he does it
stsíllen;food
stsipót;steamboat
stsíqkwe;a well
stsiqllcw;cellar/winter home
stsiqllcw;dugout, cellar, winter home
sts̓kénemst.s;how does she/he do it?
stsk̓wekst;stiff arm
stskwele7úl̓i;arrows
stskwentwél̓cw;tug-of-war
stskwil;bullet
sts̓lals;skinny
sts̓las;skinny
sts̓lelúlecw;squatting
sts̓lewt;standing (person or animal)
sts̓lutép;standing under / at the bottom of stg.
sts̓lutús;standing on top of a mountain
sts̓luxw;perspiration, sweat
stsmelt;children of one family
stsmémelt;children
sts̓mén̓e;pectoral fin
sts̓menk;tripe, guts
sts̓míken̓;dorsal fin
stsmins,  setsmíns;put down (one object)
stsmuxw;(covering of) snow
sts̓néy̓e;bullhead  fish
stsólcnem,  stsálcnem;one step measurement
stsq̓elentwécw;war, shooting at one another
stsq̓ey̓;paper, letter, document,law, rule
stsqwéyemst.s;to always manage to get stg.  ???***
sts̓ucén;thigh, hindquarter.
stsugw;stripe
stsúkwemc;last rest, last article, last child
stsúllem;bull
stsúmts̓em;furuncle  ***??? (not in the dictionary?
sts̓unéy̓temc;giant
stsut   II.;lieing there
stsut  I.;which was said/mentioned
stsut.stés, stswet.stés;treating sb.  in a certain way
stsuts̓wéy̓e;butterfly
stswécemc;Canoe Creek reserve
stswécemcemc;Canoe Creek people
sts̓wén̓emc,  sets̓wén̓emc;Okanagan Indians
sts̓wén̓emc, stsets̓wén̓emc;Okanagan Indians
stswey;makeup
stsyex;clothes worn
stúkwtsen;scoopnet
stuk̓wyénst;eye medicine
stulelélqw/stulelé7qw;fisher
stulensmátkwe7;algae
stúm̓cen;big toe
st̓um;duckling
stum̓kst;thumb
stunc;a male's  sister's  children
stunc;nephew, niece
stunc, tunc;nephew, niece
st̓úpelqw;twisted tree or rope
st̓úpkwe,  st̓úpkwem;whirlpool
stuq̓w;down feathers, E  feather.
stuqwméws;birch sap used for hides
st̓uqw;spotted design
stut̓kw;basket (watertight)
stuwp;stove
stuyíts̓e7;smallpox, E  rash
stúyken;spider
stúyus;bent over, face down
stwelelélqw/stwelelé7qw;fisher
stwelensmátkwe;algae
stwepéles;hair on chest
stwepélq;pubic hair
stwepíts̓e7;feather, animal hair
stwetíle;child raised or cared for
stwex;naked
stweyíts̓e7;smallpox, E  rash
st̓wi7;skin, esp. fish skin
stwil;fringed
stwítem̓;child raised within a family
stxaqél̓s;land in a sitting position mid-saddle
stxelqín̓;roof                ???what type of roof??
stxwéq̓wye;bullroarer       ???
stxwesétkwe7;foam on water/liquid
st̓ye7;hay Medicago sativa, Trifolium pratense
st̓ye7úl̓i;wild mixed grass
styég̓wts̓e;wrapped article
styeláp;make a turn on a mount, vehickle, to come around a bend
styelép;swing around foot of tree
styelk̓ékst;wound around the wrist
styél̓llkwle;skimmed bugs and other water floaters
styem;sitting upon stg. (plur.)
styém̓us;on horseback (plur.)
styenmíken;to round a corner on a vehickle/horseback
styétemc;people of the interior, Shuswap of the Canim Lake area.
styéwem;skimmed off
styéwens;skimmed off
styexyéyx;bobcat
styéy̓em;sitting around the table
styu7qín;oil /fat that forms on top of  a pot when cooking fatty foods
st̓yúlecw;timbergrass, bunchgrass
súcwem;recognize
súcwens;recognize
sucwentwécw;getting to know one another
súk̓wem;blowing away in the wind,to sift grain in the wind
súk̓wens;blowing away in the wind,to sift grain in the wind
súkwe;sugar
suk̓wt;blowing in the wind
súk̓wt;carried along by the wind
suk̓wt,  cnewt;carried along by the wind.
sulélem, swelélem;iron
súlem;freezing
súlens;freezing
sulén̓sem;flower
sulle7úl̓i;ling
súllecw;ground has become frozen
sullkwe7élcken;watersnake
sullkwe7éllp;whiskey
sullnén̓tkwe;swallow (bird)
sulltemcúll;always asking for information
sulltímc;enquire, ask permission
sulmémull, swelemémull;tin can
súmens;smelled the odour of
sum;smell with the nose or snewt
sum;sniff a scent
sunecícelt;grouse chicks
sunéc;willow grouse
sup̓;breath
súpe7;tail
súp̓em;breathing
suptsín, sweptsín;beard
supúlecw, swepúlecwem;weeds
suséwtsnem,-enmens;enquire
susullkwe7énk;hill-side with springs
sute7úl̓i;last person
sút̓em;sucking
sút̓ens;sucking
súten;possession
suxwenstqín, csexwenstqín;to descend  from the mountains.
suyépmec;Frenchman,white man
suyík,  su7yík;small bird (unid.)***
swecém;boyfriend for the time being  ???
swékmen̓st;lightning
sweláps;bighorn sheep
sweleméwll;pail
swelík̓t;shining, twinkling, reflecting
swellwéllswellewélle);mica
swelmín̓k;gun
swelwelélem;iron (plur.)
swelwelmémull;small tin cans
swelwelméwll;pails
swél̓yemqen;flower seed
sweméc;guardian spirit
sweptsítsen;grass (unid.)???
swetémtkemc;people living downstream
swéti7;who?
swet;someone
swéwemc;sales
swéwemcw, swéwecw;sale,auction sale
swewll;fish
swi7númt;pretty young girls  ???
swi7núnemt;young girl (up to 12)
swinúmt, swinúmtc;handsome, good-looking
swist;top of trees etc.
swucwt;snow,year
sxayqs, tsxayqs;coho salmon
sxe7llts̓e7ékst;offering to shaman after hunt
sxelmékst;west wind
sxél̓men;shavings
sxélwe;husband
sxelxtsín,  secllextsín;saliva
sxepép7e,  sexpepé7e;old man
sxest;shale rock,  E  rockslide
sxét̓emcen;trousers, pants
sxeteqsél̓ll;bow of boat
sxetspésq̓t;Sunday
sxetsxts̓icén̓;Dutchman
sxexé7;smart,guardian spirit
sxeyqs, sxéyeqs;pink salmon
sxgét̓tem̓c, sexgét̓tem̓c;Dog Creek people
sxílem;activities being acted on
sximékst;thumb
sximélcken;big body
sxixéyt;heat
sxíxnem;dentalium shells
sxlem;wall
sxó7xe/sxú7xe;fool hen, sooty grouse
sxqéltkemc;Chase people
sxtséts̓i, sxtséts̓i7;sticks
sxts̓ey, sexts̓éy;wood,  stick
sxts̓ey te tk̓úlke;decorative dried twigs
sxts̓yéllem̓cw,  sexts̓yéllem̓cw;box
sxúllq̓welt, sxú7llq'welt;windpipe
sxuptc;unable to perform normally at some task
sxúsem;soapberry
sxuwúm;something dried
sxuxú7, sexú7,  s7exú7;coughing cold
sxuxú7 te melámen  (sp);cough medicine
sxwesétkwe7;foam on the water
sxwesméllp;soapberry bush Shepherdia canadensis.
sxwesxúxwsem;red currants
sxwet̓ey7í7elt;mountain goat calves
sxwet̓éy;mountain goat
sxwetsexúts̓e7;pigeon
sxwexú7;coughing cold
sxwéxwi7temc;epidemic
sxwéxwle;minnow
sxwim;cedar bark
sxwixwéytemc;people who have died
sxwixwyém;liking, fondness, love
sxwlécken;buck (deer)
sxwnis;snot
sxwqút̓em, sexqút̓em;cigarette
sxwyéyleqs;shrew (animal) Do
syécle7qs;long overcoat
syecwelstsút;illegitimate child,one who does nothing in life
syegwyég̓wten;belt
syegwyúgwt;strength
syek̓;falcon
syéksten;toys
syéksten;toys
syekstíleten;baby rattle,  children's toys
syekúkw;this time last year
syekweyúkwe7;wart
syelt;plate
syeq̓;berries boiled-down and dried
syéqweqw;black beetle
syikt;fallen tree
syukweyúkwe7,  sekweyúkwe7;wart
syukweyúkwe7,  sye7yúkwe7;wart
syúmtemc;woman's menstrual cycle
t7al;strung out
t7ecwelníts̓e7;sense, suspect.
t7ecwtnúcw;survive the winter
t̓7ek;s/he is going by,going along
t7ek̓w;rise to the surface of water
t7elcknem;pounding dried meat, mashing bones
t7elcknens;pounding dried meat, mashing bones
t7élksten;tool, also material used for stg.
t7ellcwéscen̓;large cooking pot, used when cooking on stoves was first practiced
t7ellnúll;snacking constantly
t̓7élye;from around these parts,and then!
t7emetékst;common law relationship,E  also to live with other people than one's own.
t̓7em;searched
t7em;See tentés.  ???
t7emtmínc;sit with someone
t̓7éne;this direction here,this is the way that it is done
t7ép̓u7sem;wiped the table
t7etsxemíns;trained  for  stg.
t7ewít;very last time
t7ew;over ripe
t7ew;spoiled (of food)
t7ex;ill-disposed (towards person marrying into family.
t̓7exw;less deep (of snow)
t7eyenlltímc;meeting  people (e.g. a group arriving with a corpse).
t7éyens;she went to meet him
t7eytk;catch a disease
t7éytkem;to get a disease a second time
t̓7íkwem;take shelter from rain
t7ikw;fire, flame, spark
t̓7ikw;rain stops
t7imcw;spring thaw, snow disappears
t̓7iq;bleached, white (as hands held too long in cold water)
t7íq̓men̓;scraping rack for hides,a place where hides are scraped
t7íq̓welqwem;cutting strips of jackpine  sap off the trees for food
t7íq̓welqwten;implement for extracting sap of jackpine
t7íweltk;mountain tops,Do  also east.
t̓7um;moulting
t7úpe7pekst, t7úp7epekst;ten people
t7ustk;catch salmon
tá7a;no
tá7a;no
tá7a put,  gwegwén;not very often
tá7ct.s, ta7céts/ta7cíts;refuse sb. stg.
ta7 k stslliys;tsllay,carried on with gusto, acted with aboandon.
ta7 me7 s7estqwíts.s;will not leave from a spot/place
ta7;not
ta7 penhén me7 sxilt.s;impossible, it would never work
ta7stés, ta7stás;she forbids it, she does not allow it
ta7úlecw;secluded area
ták-em;raking hay        (sp)???
ták-ens;raking hay        (sp)???
tálecen;curlew **
tálelc, tálelc;walking in a line
tálem;stretching out string, rope or ribbon and or a gillnet
tálens;stretching out string, rope or ribbon and or a gillnet
tállelc;standing up
táltsen, téltsen,-mens;sent word about
t̓ámtsnem;s/he is smacking his lips as he eats
taq̓t;getting to the opposite bank of water
taq̓t;reached the opposite shore
t̓ásens,  t̓sentás,  -é;patted  down flat
t̓as;slap, slap of stg. wet  hitting stg.)
tatátlcen;mourning dove (long legged)
tcálqens;gave sb. a haircut
tcecentén̓   -én;rug
tcécp̓ten;feather on an arrow
tcelc;go/tag along
tcemkél̓ten;bed
tcemn7sékst;oars
tcemnéws;both sides
tcemnéwst.s;both sides
tcemnusús;double-bladed
tcem̓nusús;double-bladed knife
tcencéqs;stony point, promontory
tcenqín̓;covered with a lid
tcenqín̓em,-s;covering with lids
tcentés;spread out a cloth, blanket, tablecloth etc.
tcentsút   -tec;tidying one's appearance
tcetét̓em;joined, fell in with a herd
t̓cétkwem̓;mixing suger in a drink
tcet̓pélqw;caught in a log jam in water
tcet̓qín;berrypicking mtn. near Adams Lake
tcetscts̓úse7;hard (of unripe fruit)
tcets̓;elk
tceyí7/tecyí7;sufficient, enough
tcéy̓ksten;capelet covering shoulders
tcíkelc;rubbed against a tree etc.
tcíken̓st;rubbing the body against stg.
tcíl̓ens;currying an animal
tcíl̓ke;horse brush
tcíl̓pem;currying, trimming an animals'  tail
tcíl̓pens;currying, trimming an animals'  tail
tcíts̓e7;with hairs removed (skin)
tcítse, tecítsem;shear hair off deerhide, Do to cut hay.
tcítse, tecítsens;shear hair off deerhide, Do to cut hay.
tcítske7  -tec;knife for shearing hair off  hides
Tclel̓s;Secwepemc camp ground
tcleptál̓s;trail runs over mountain
tclon, teclón;insufficient
tcmem;roosting of birds
tcmewt;(birds) are sitting in trees
tcnél̓sens;s/he spread a tablecloth
tcnél̓sten;tablecloth
tcnén̓e;cover over anything
tcnén̓e,-ns;covered
tcníts̓em̓, -en̓s;covering stg. with material
tcúcwelk̓wem;rolling a cigarette
tcúcwelk̓wens;rolling a cigarette
tcúk̓wem;pull stg. out of a package
tcúk̓wens;pull stg. out of a package
tcúk̓wpen̓s;pulled the tailfeathers of birds
tcum;received as a giveaway gift
t̓cum;won
tcup;got stg.
tcúsem,-mens;looked
tcút̓cnem;took off his/her shoes
tcút̓em;take off (as blanket)
tcút̓ens;take off (as blanket)
tcw7éne,-ns;lifting stg. onto one's shoulders
tcw7ús;add fuel to a fire
tcw7us;fire (large) for camp cooking/warmth
Tcwe7lánk;Turtle Valley
tcwelcwlé7llp;gooseberry bush
tcwelpál̓s/tcwelpél̓s;break in water pipe or ditch
tcwelqínem;making an opening in a ditch
tcweltemqín̓;lay the head down
